LAF,ST,AST,REV-ST,REV-AST,TMP,start_time,depth_m,datetime,label,leg,depth_ft
74.073,3241.33,2748.78,3706.66,3147.85,11.133,2026-07-06T00:10:30.795Z,65.073,2026-07-06T00:10:30Z,2026-07-06 00:10,down,213.49410131999997
74.073,3296.99,2798.44,3734.29,3176.49,11.136,2026-07-06T00:22:33.874Z,65.073,2026-07-06T00:22:33Z,2026-07-06 00:22,down,213.49410131999997
74.073,3292.01,2800.34,3799.08,3235.03,11.2,2026-07-06T00:34:37.032Z,65.073,2026-07-06T00:34:37Z,2026-07-06 00:34,down,213.49410131999997
74.073,3348.04,2849.86,3710.17,3161.71,11.092,2026-07-06T00:46:41.268Z,65.073,2026-07-06T00:46:41Z,2026-07-06 00:46,down,213.49410131999997
74.073,3226.05,2748.77,3755.27,3207.79,11.081,2026-07-06T00:58:43.973Z,65.073,2026-07-06T00:58:43Z,2026-07-06 00:58,down,213.49410131999997
74.073,3346.32,2858.24,3676.76,3144.49,11.158,2026-07-06T01:10:47.787Z,65.073,2026-07-06T01:10:47Z,2026-07-06 01:10,down,213.49410131999997
74.073,3341.92,2857.33,3802.5,3254.66,11.091,2026-07-06T01:22:50.710Z,65.073,2026-07-06T01:22:50Z,2026-07-06 01:22,down,213.49410131999997
74.073,3224.03,2758.83,3818.99,3272.26,10.99,2026-07-06T01:34:53.665Z,65.073,2026-07-06T01:34:53Z,2026-07-06 01:34,down,213.49410131999997
74.073,3296.82,2825.51,3763.67,3231.34,11.087,2026-07-06T01:46:57.197Z,65.073,2026-07-06T01:46:57Z,2026-07-06 01:46,down,213.49410131999997
74.073,3306.18,2840.01,3644.46,3133.34,11.123,2026-07-06T01:59:00.511Z,65.073,2026-07-06T01:59:00Z,2026-07-06 01:59,down,213.49410131999997
74.073,3392.93,2915.8,3751.19,3226.23,11.007,2026-07-06T02:11:04.185Z,65.073,2026-07-06T02:11:04Z,2026-07-06 02:11,down,213.49410131999997
74.073,3403.11,2927.8,3849.33,3317.26,11.04,2026-07-06T02:23:07.390Z,65.073,2026-07-06T02:23:07Z,2026-07-06 02:23,down,213.49410131999997
74.073,3329.48,2870.16,3871.79,3340.44,11.118,2026-07-06T02:35:10.500Z,65.073,2026-07-06T02:35:10Z,2026-07-06 02:35,down,213.49410131999997
74.073,3363.53,2900.67,3944.72,3405.2,11.025,2026-07-06T02:47:13.705Z,65.073,2026-07-06T02:47:13Z,2026-07-06 02:47,down,213.49410131999997
74.073,3470.99,2994.99,4080.61,3526,10.969,2026-07-06T02:59:16.425Z,65.073,2026-07-06T02:59:16Z,2026-07-06 02:59,down,213.49410131999997
74.073,3441.65,2975.01,3865.36,3345.33,11.12,2026-07-06T03:11:19.067Z,65.073,2026-07-06T03:11:19Z,2026-07-06 03:11,down,213.49410131999997
74.073,3471.66,3003.62,3968,3435.6,11.043,2026-07-06T03:23:23.022Z,65.073,2026-07-06T03:23:23Z,2026-07-06 03:23,down,213.49410131999997
74.073,3366.25,2914.09,3916.21,3392.38,10.99,2026-07-06T03:35:26.273Z,65.073,2026-07-06T03:35:26Z,2026-07-06 03:35,down,213.49410131999997
74.073,3357.57,2908.96,3929.84,3409.82,11.048,2026-07-06T03:47:30.119Z,65.073,2026-07-06T03:47:30Z,2026-07-06 03:47,down,213.49410131999997
74.073,3248.69,2818.86,3850.26,3341.88,11.069,2026-07-06T03:59:33.652Z,65.073,2026-07-06T03:59:33Z,2026-07-06 03:59,down,213.49410131999997
74.073,3499.16,3036.59,3850.72,3343.73,10.988,2026-07-06T04:11:36.309Z,65.073,2026-07-06T04:11:36Z,2026-07-06 04:11,down,213.49410131999997
74.073,3268.07,2837.91,3827.37,3325.24,10.936,2026-07-06T04:23:39.404Z,65.073,2026-07-06T04:23:39Z,2026-07-06 04:23,down,213.49410131999997
74.073,3284,2854.35,3746.92,3260.5,11.063,2026-07-06T04:35:42.875Z,65.073,2026-07-06T04:35:42Z,2026-07-06 04:35,down,213.49410131999997
74.073,3347.08,2913.08,3838.93,3341.69,11.05,2026-07-06T04:47:45.767Z,65.073,2026-07-06T04:47:45Z,2026-07-06 04:47,down,213.49410131999997
74.073,3345.98,2911.45,3815.99,3322.06,10.955,2026-07-06T04:59:48.002Z,65.073,2026-07-06T04:59:48Z,2026-07-06 04:59,down,213.49410131999997
74.073,3399.64,2959.19,3851.32,3357.94,10.98,2026-07-06T05:11:51.050Z,65.073,2026-07-06T05:11:51Z,2026-07-06 05:11,down,213.49410131999997
74.073,3173.86,2768.48,3692.93,3220.69,11.081,2026-07-06T05:23:54.896Z,65.073,2026-07-06T05:23:54Z,2026-07-06 05:23,down,213.49410131999997
74.073,3308.08,2885.3,3878.16,3383.46,10.968,2026-07-06T05:35:58.366Z,65.073,2026-07-06T05:35:58Z,2026-07-06 05:35,down,213.49410131999997
74.073,3217.38,2806.66,3656.02,3190.4,10.925,2026-07-06T05:48:01.602Z,65.073,2026-07-06T05:48:01Z,2026-07-06 05:48,down,213.49410131999997
74.073,3156.42,2755.23,3772.48,3295.39,10.954,2026-07-06T06:00:04.353Z,65.073,2026-07-06T06:00:04Z,2026-07-06 06:00,down,213.49410131999997
74.073,3314.25,2896.57,3693.86,3228.3,11.041,2026-07-06T06:12:06.526Z,65.073,2026-07-06T06:12:06Z,2026-07-06 06:12,down,213.49410131999997
74.073,3250.92,2840.92,3658.57,3196.15,10.946,2026-07-06T06:24:09.137Z,65.073,2026-07-06T06:24:09Z,2026-07-06 06:24,down,213.49410131999997
